,album_name,album_id,artist_name,artist_id,year,number_tracks,win,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,The Button - Down Mind of Bob Newhart (Live),7hX0ROeIkqTmnMYr9aGvYV,Bob Newhart,49mU7Sl98U8MkECsd6zVq0,1961,6,1,0.5241666666666668,0.5218333333333334,6.5,-18.683333333333334,0.3333333333333333,0.9438333333333334,0.8206666666666665,0.0,0.9123333333333332,0.5743333333333334,104.184,321933.33333333326,3.5
1,Belafonte Returns to Carnegie Hall,26UI9qecNlQDjn9QHCEImf,Harry Belafonte,6Tw1ktF4xMmzaLLbe98I2z,1961,19,0,0.4771052631578948,0.3515631578947369,5.526315789473684,-17.101315789473688,0.6842105263157895,0.36231578947368415,0.7208947368421054,9.18421052631579e-06,0.674,0.4240105263157895,115.05557894736843,226913.73684210522,3.8947368421052633
2,Nice 'n' Easy (Remastered),2Xp6c8OMMolIoix6KLyun2,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,1961,16,0,0.267625,0.1077625,4.5625,-17.576687500000002,0.875,0.0342,0.8859375,0.003093433125,0.15479375,0.1962125,102.2035,193087.5,3.75
3,Puccini: Turandot,3eTeuieUtNTeEjAeqryB0f,Giacomo Puccini,0OzxPXyowUEQ532c9AmHUR,1961,37,0,0.2738918918918919,0.1773486486486486,5.081081081081081,-21.367243243243237,0.4864864864864865,0.05571081081081082,0.9402162162162164,0.13537584540540545,0.3140216216216217,0.1882378378378379,97.24643243243244,185627.02702702704,3.783783783783784
4,Wild Is Love,5k1MBVDHN9fNh9RXXuXLRY,Nat King Cole,7v4imS0moSyGdXyLgVTIV7,1961,14,0,0.36014285714285715,0.3845000000000001,4.285714285714286,-9.308785714285714,0.7857142857142857,0.04781428571428571,0.6422142857142857,1.1135714285714283e-05,0.28778571428571426,0.4040714285714286,96.23407142857144,153912.2857142857,3.8571428571428568
5,Judy At Carnegie Hall,3M0RdVAdvPETjcEvPj7AI0,Judy Garland,0hItVPjwJLVZrFqOyIsxPf,1962,26,1,0.3151153846153846,0.3740269230769232,6.153846153846153,-15.840038461538462,0.7692307692307693,0.2272807692307693,0.7158846153846152,0.0013533776923076925,0.6405769230769232,0.27951923076923074,100.61,282698.76923076925,3.692307692307693
6,Breakfast At Tiffany's (50th Anniversary Edition),53mCG3mQnybqhQfgH5ULUK,Henry Mancini,2EExdpjU4SK3xnJHO5paJf,1962,15,0,0.4839533333333333,0.2690333333333333,4.933333333333334,-17.533666666666665,0.6666666666666666,0.035,0.8633333333333333,0.557664,0.10874666666666667,0.4585066666666666,122.85446666666668,173367.66666666663,3.6
7,Genius + Soul = Jazz,1VTSotSPiRvCbAtlQvSS5q,Ray Charles,1eYhYunlNJlDoQhtYBvPsi,1962,10,0,0.5107,0.2825,4.9,-18.446400000000004,0.5,0.05725,0.7027,0.24448499999999998,0.2572,0.6095,122.4085,223227.0,3.9
8,Great Band With Great Voices,52a7wxVQoJuGkoxkp7RMbD,The Si Zentner Orchestra,1eUYmq0oYUaGp7WtgUv7Fa,1962,12,0,0.3823166666666665,0.2880000000000001,5.083333333333333,-13.076833333333333,0.5833333333333334,0.033341666666666665,0.8755833333333335,0.1615373425,0.19385,0.3123833333333334,111.33775,158172.25,4.0
9,The Nat King Cole Story,3NoP1ifIejWkGSDsO9T2xH,Nat King Cole,7v4imS0moSyGdXyLgVTIV7,1962,36,0,0.4102222222222223,0.1797888888888889,4.305555555555555,-18.354666666666667,0.8055555555555556,0.056225,0.8685555555555555,0.003153279444444444,0.1887416666666667,0.3635083333333334,108.07144444444445,173338.5,3.4722222222222223
10,West Side Story (Original Motion Picture Soundtrack),1kA4RO70idrEQkOX3zlRfa,Leonard Bernstein,2LmyJyCF5V1eQyvHgJNbTn,1962,19,0,0.3821052631578946,0.3128789473684211,4.421052631578949,-13.510052631578946,0.8421052631578947,0.14631052631578947,0.7768421052631579,0.17643018947368425,0.2439526315789473,0.3554631578947369,100.23494736842105,248112.26315789478,3.5263157894736836
11,The First Family: Volume 1,1t4XBFqZcsZ5m15AkbX7CH,"Vaughn Meader, Bob Booker, Earle Doud, Naomi Brossart",2dAL7yfipmokM2b00E2kEP,1963,17,1,0.5901176470588236,0.6593529411764706,5.941176470588236,-11.693470588235295,0.7058823529411765,0.8707647058823528,0.6970000000000001,0.00019316470588235296,0.8101176470588235,0.5648823529411766,93.52994117647057,127589.88235294115,3.7058823529411766
12,I Left My Heart In San Francisco,64CGgldzMUCxdkvmDb3OU7,Tony Bennett,2lolQgalUvZDfp5vvVtTYV,1963,12,0,0.3698333333333333,0.2638333333333333,3.583333333333333,-15.45133333333333,0.9166666666666666,0.03959166666666667,0.8349166666666666,1.2383333333333333e-06,0.21533333333333332,0.3415833333333333,104.12899999999998,156782.33333333337,3.8333333333333335
13,Jazz Samba,5Lyz7ZD1UaPq6WoEqTOqom,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,1963,7,0,0.6172857142857142,0.3082857142857143,4.428571428571429,-19.736285714285714,0.5714285714285714,0.0672,0.7935714285714285,0.4077428571428571,0.16785714285714284,0.6917142857142858,101.49271428571429,283163.85714285716,4.0
